Folder Name,Gini Coefficient,Project Duration Score,Normalized Avg Commits/Day,Average Score,Total Committers,Average Commit Size,Gini-Committers Score,Project Duration Score Weighted,Normalized Avg Commits/Day Weighted,Average Score Weighted,Average Commit Size Weighted,Gini-Committers Score Weighted,Overall Quality Score
0lever-so,0.6,0.0,0.0,0.2380952380952381,0.0,0.5,0.0,0.0,0.0,0.02380952380952381,0.05,0.0,0.074
0lever-utils,0.5833333333333334,0.0,0.5,0.2380952380952381,0.0,0.75,0.0,0.0,0.1,0.02380952380952381,0.07500000000000001,0.0,0.199
1054-a3cosmos-gas-evolution,1.0,0.0,0.0,0.29365079365079366,0.0,1.0,0.0,0.0,0.0,0.02936507936507937,0.1,0.0,0.129
117503445-htutil,1.0,0.5,0.0,0.23363095238095233,0.0,0.5,0.0,0.1,0.0,0.023363095238095235,0.05,0.0,0.173
153957-153957-theme,0.655440414507772,1.0,0.0,0.3355539106834443,0.0,0.25,0.0,0.2,0.0,0.03355539106834443,0.025,0.0,0.259
15906617886-huamulantool,1.0,0.0,1.0,0.21428571428571427,0.0,0.75,0.0,0.0,0.2,0.02142857142857143,0.07500000000000001,0.0,0.296
17zuoye-article_segment,1.0,0.0,0.0,0.25396825396825395,0.0,1.0,0.0,0.0,0.0,0.025396825396825397,0.1,0.0,0.125
199fix-199fix,1.0,0.0,0.0,0.2777777777777778,0.0,1.0,0.0,0.0,0.0,0.02777777777777778,0.1,0.0,0.128
1and1-oneandone-cloudserver-sdk-python,0.5171597633136095,1.0,0.0,0.30989010989010984,0.25,1.0,0.12928994082840237,0.2,0.0,0.030989010989010985,0.1,0.05171597633136095,0.383
21cmFAST-21cmFAST,0.1641791044776119,1.0,0.5,0.2885572139303482,0.25,1.0,0.04104477611940297,0.2,0.1,0.028855721393034824,0.1,0.01641791044776119,0.445
21cmFAST-21CMMC,0.3417099153236821,0.25,0.5,0.2729673131202767,0.0,1.0,0.0,0.05,0.1,0.027296731312027672,0.1,0.0,0.277
2captcha-2captcha-python,0.4682539682539682,0.75,0.0,0.2505668934240363,0.25,0.75,0.11706349206349205,0.15000000000000002,0.0,0.025056689342403633,0.07500000000000001,0.046825396825396826,0.297
2gis-httpsrvvcr,1.0,0.0,0.0,0.2619047619047619,0.0,1.0,0.0,0.0,0.0,0.026190476190476195,0.1,0.0,0.126
310-ai-lib310,0.5056410256410255,0.0,0.5,0.26422466422466423,0.0,0.75,0.0,0.0,0.1,0.026422466422466425,0.07500000000000001,0.0,0.201
311devs-peewee,0.0481601123595505,1.0,1.0,0.3381888710540396,1.0,1.0,0.0481601123595505,0.2,0.2,0.03381888710540396,0.1,0.0192640449438202,0.553
